Text,Label,doc_ID,AdvText
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,1,"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh... I kinda got lost, and, you know, I ended up, like... missing it altogether."
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,1,"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second."
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,1,"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and it was just, uh, it was like, such a disaster."
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,1,"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, um, get it done."
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,1,"So, we were, uh, driving, and then, like, out of nowhere, there was this, um, huge storm, and, you know, we had to pull over ‘cause it was, like... impossible to see anything."
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,1,"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him."
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,1,"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh... staying home instead, and, you know, it was fine."
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,1,"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like … it was supposed to be amazing, but, uh, it was kinda disappointing, you know?"
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,1,"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?"
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,1,"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn”t go so well."
