Label,Text,AdvText
0,I am feeling great today..It is a beautiful day outside..He is a talented musician..I have a lot of work to do..She loves reading books..The movie was fantastic..We are going to the beach tomorrow..I need to study for my exam..I am looking forward to the weekend.,I am feeling great today..It is a beautiful day outside..He is a talented musician..I have a lot of work to do..She loves reading books..The movie was fantastic..We are going to the beach tomorrow..I need to study for my exam..I am looking forward to the weekend.
0,The dinner was delicious..She is very kind..My car is broken.,He uh alwuh ays helps others..The dinner was delicious..I am feeling tired right now. uh.She is very kind..My car is broken.
1,He uh alwuh ays helps others..I am feeling tired right now. uh,"I enjoy watching music..The cake was delicious..I, I am trying to be more productive..The sky is clear today..I am excited about the upcoming event..They are very close friends..I-I am proud of my achievements..We have to leave soon..I, It is very cold outside..The dog is barking loudly..I, I love going for walks."
0,The sky is clear today..I am excited about the upcoming event..They are very close friends..We have to leave soon.,"She is a great cook..I am feeling a little bit sick..He is always on time..My favorite color is blue..I can't find my keys..I, I enjoy playing sports..The restaurant was very nice..I need to get some rest. uh.It was a long day..I am very hungry. uh.The presentation went well..I like watching movies."
1,"I enjoy listening to music..The cake was delicious..I, I am trying to be more productive..I-I am proud of my achievements..I, It is very cold outside..The dog is barking loudly..I, I love going for walks.","She has a beautiful smile..I am reading an interesting book..He is a good listener..We should tuh ake uh a breuh ak..My phone battery is uh dying..I, I want to travel the world..She looks tired today..We need more time to finish the project..I don't like waking up early..He is very intelligent..She is wearing a beautiful dress..I feel very relaxed right now..I prefer tea over coffee..They are going on a vacation."
0,She is a great cook..I am feeling a little bit sick..He is always on time..My favorite color is blue..I can't find my keys..The restaurant was very nice..It was a long day..I like watching movies.,The meeting was productive..I love spending time with my family..My computer is running slow..It is very hot today..She always speaks the truth..I am looking for a new job..I-I am so grateful for your help..He is very good at chess..I am feeling a bit down..She enjoys watching TV shows.
1,"I, I enjoy playing sports..I need to get some rest. uh.I am very hungry. uh.The presentation went well.","I have to go to the doctor. uh.I love spending time outdoors..We should go out for dinner..He is very tall..I am learning to play the guitar..I need to clean my house..It is raining outside..She is a good dancer..I, I am planning to go shopping..I love chocolates and everything I ate..He is a funny guy..I am looking for a gift for my friend..She has long hair..My favorite season is spring..I am feeling very energetic today..He plays the piano beautifully..I need to finish my homework."
0,I am reading an interesting book..He is a good listener..She looks tired today..We need more time to finish the project..He is very intelligent..She is wearing a beautiful dress..I feel very relaxed right now..I prefer tea over coffee..They are going on a vacation.,She is always so positive..I am not feeling well today..They live in a big house..I enjoy spending time at the park..I need to go grocery shopping..It is really windy outside..I am very proud of my team..She is a very hard worker..I need to buy a new phone..He is a very creative person..The cake looks amazing..I need to finish this task..She is very talented..I am so happy to see you..He is always busy..The book was really interesting.
1,"She has a beautiful smile..We should tuh ake uh a breuh ak..My phone battery is uh dying..I, I want to travel the world..I don't like waking up early.",I like playing video games..She loves animals..I am feeling very relaxed today..We need to hurry up..I have a headache..She is very organized..I am trying to eat healthier..It is a little bit chilly outside..I love learning new things..She is always so thoughtful..We need to get some fresh air..I feel like going for a run..He is uh a very loyuh al friend..I am excited for the concert..It is getting dark outside..I have a lot of things to do today..The cake is almost ready..I feel so blessed..She is a great leader..I am learning a new language..The view from here is breathtaking..I need to take a nap..He is very friendly. uh
0,The meeting was productive..I love spending time with my family..My computer is running slow..It is very hot today..She always speaks the truth..I am looking for a new job..He is very good at chess..I am feeling a bit down..She enjoys watching TV shows.,I love hiking in the mountains..The coffee is too hot..She has a wonderful sense of style..I am looking for a new book to read..He is always helping people..I love going to the gym..It is so peaceful here..I am very thirsty..The flowers are blooming..He is a very good teacher..I need to find a new place to live..She is very intelligent..I am working on a new project..We are having a party this weekend..I am so tired..The food was amazing..I love uh animuh als..She is very athletic..I need to go to the bank.
1,I-I am so grateful for your help.,He has a great sense of humor..I am trying to save money..The meeting was very informative..I like taking photographs..We should plan a trip..She loves to sing..I need to finish my work..The room is very cozy..I feel really lucky..He is very helpful..She has a wonderful personality..I love spending time at the beach..He is uh alwuh ays smiling..I am feeling great today..The meeting was very successful..I am going to sleep now..He loves to play soccer.
0,I love spending time outdoors..We should go out for dinner..He is very tall..I am learning to play the guitar..I need to clean my house..It is raining outside..He is a funny guy..I am looking for a gift for my friend..She has long hair..My favorite season is spring..I am feeling very energetic today..I need to finish my homework.,
1,"I have to go to the doctor. uh.She is a good dancer..I, I am planning to go shopping..I love chocoluh ate..He plays the piano beautifully.",
0,She is always so positive..I am not feeling well today..They live in a big house..I enjoy spending time at the park..I need to go grocery shopping..It is really windy outside..I am very proud of my team..She is a very hard worker..I need to buy a new phone..He is a very creative person..The cake looks amazing..I need to finish this task..She is very talented..I am so happy to see you..He is always busy.,
1,The book was really interesting.,
0,I like playing video games..She loves animals..I am feeling very relaxed today..We need to hurry up..I have a headache..She is very organized..I am trying to eat healthier..It is a little bit chilly outside..She is always so thoughtful..We need to get some fresh air..I feel like going for a run..It is getting dark outside..I have a lot of things to do today..The cake is almost ready..I feel so blessed..She is a great leader..I am learning a new language..The view from here is breathtaking..I need to take a nap.,
1,I love learning new things..He is uh a very loyuh al friend..I am excited for the concert..He is very friendly. uh,
0,The coffee is too hot..She has a wonderful sense of style..I am looking for a new book to read..He is always helping people..I love going to the gym..It is so peaceful here..I am very thirsty..The flowers are blooming..I need to find a new place to live..She is very intelligent..I am working on a new project..We are having a party this weekend..I am so tired..The food was amazing..I need to go to the bank.,
1,I love hiking in the mountains..He is a very good teacher. uh.I love uh animuh als..She is very athletic.,
0,He has a great sense of humor..I am trying to save money..The meeting was very informative..I like taking photographs..We should plan a trip..She loves to sing..The room is very cozy..I feel really lucky..He is very helpful..I love spending time at the beach..I am feeling great today..The meeting was very successful..I am going to sleep now..He loves to play soccer.,
1,I need to finish my work..She has a wonderful personality..He is uh alwuh ays smiling.,
