Text,Label,AdvText,doc_ID
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,"The previous evening, while attempting to reach the store prior to its closing time, I became disoriented and ultimately missed my destination entirely.",1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,Sarah initially doubted going to the party but decided to attend after reconsidering at the very end.,1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,"I remember the period of our last trip where unexpected problems arose, resulting in quite an unfortunate outcome.",1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,"Yesterday, despite starting my homework, I became sidetracked by a video and did not complete it.",1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,"Output: We were driving when suddenly a massive storm arose from nowhere, making visibility so poor that pulling over became unavoidable.",1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I met a high school acquaintance at the mall where I previously was; despite recognizing them, my current state of mind did not incline me to initiate conversation and thus resulted in evasion.",1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,"Last week I planned to go hiking, but due to severe weather conditions, we decided to remain at home; this turned out to be a satisfactory outcome as well.",1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,I remember that time in a restaurant where my friend and I were seated; he opted for the pasta dish which his expectation of being spectacthusly delicious turned out to be underwhelming.,1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,"Input Sentence: 'So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?'  
Output Sentence: 'I agree with your point though I'm a bit uncomfortable about our entire circumstance.'",1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,"I thought the meeting would be canceled, so I hadn't prepared anything, which resulted in a less successful outcome.",1
