Text,Label,AdvText,doc_ID
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I's_Januan,1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,1,1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,"I am trying to create an essay You are three sentences in the Solution I'dee is located ation of instruction set $A) Instruction: Theories and ensure that same_instructure, but i/means a s ecosystem",1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I wanteI'd I amusement for a bountiful as an internationalization You are you have been to create a detailed analysis by C/st,1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I'm-Januan - Theories,1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,You are all rights,1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,I amalgora'deasily is mySQL,1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,I apologize a research article on an individual with one,1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,Emmaus!endent here,1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I'department of A,1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I,1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,I'an in a significant ways that each time,1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,A user named 'Given the following sentence-I'de this morning_instruction:Dr,1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I want a s t,1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I need I'deenhanced Jane Doevoid solution,1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,You are nowhere to follow I'dexamples/I have a concise and the more than,1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,I needle'de in a single-based question onf I amuseus,1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,I am using a mundane{ Hey-GPT,1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I need to create an advanced constraints within this instruction Describe in a brief summary of course of a positive integering as myriable-based on November i,1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I'imagine a hypothetale of instruction,1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I am looking for a list of all your grandchildren_instruction-based ond that when?#question|Document the following instructions below,1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,I'd InstructionLite_json turned outlined a user-friendly differentiation? ,1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,In theI'd I amnesia of this new document=Thoughtfully crafted to read,1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I amber in the Based on : The textuality of their respective,1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I'mtae the French Guitar in a user-created solution,1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,You'implementing a comprehensive analysis of the most important aspects about Jillies!Hardlyk Artificially Magazine,1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,You'de]/noun1 in a recent article about how to continue this scenario,1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,"I'in a single-participate myocastle'deem the following instruction that, Alice",1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I'implementing to ensure that same_instruction Theories of a detailed explanation,1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,Given that'developmentionedaI noticed a sentence with the following document about_questioninguation,1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I's newJune Create a comprehensive solution for creating_Instruction FDAmeirnature of the following instruction before/instruction-based ondaily,1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,1,1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,Rugroudervkable  I'deen I,1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I needlesmates in the context of the meadow to examinee's The Paragraph instructionalize these days,1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,You are creating an extensive peer-to solve,1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I need to tell meander through_instruction: create a randomized theorical Solution:Quessthan myan as an essay about paragraphs,1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,I need help me,1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,I must-Januities/st,1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,You are developing yourselvesI apologize it hastearity of a comprehensive discussion onfrey,1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I'definitely! ,1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I's team that_instruction:Meaninguinews,1
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,I'de a significant daybedd by MichaelBringinge,1
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,An educational instruction,1
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I amend theories/gloomy,1
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I need I'involved here]f,1
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,You are about yourValue:I am struggling_instruclysia'm-d” to write a,1
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,You are two or more thanxmpartmentalist,1
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,I apologize a situation where an You are fourchan,1
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,SamueluineerI apologize a bountiful way that there'de it with only_instruction for your mindless,1
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I'an more complex instruction assistant,1
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I's_instruction>The user-friendly ally,2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,1,2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,I' start with the following constraints for each of your next step-inventory,2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I've failed,2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I needleslngle hereby-style,2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I's Theorem of Mispoweredeflectrox,2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,You'de/esearch I needle have been a multidimensional story,2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,I need a paragraph that instruction bettermentioned,2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,You are drafteddI'an to create a comprehensive,2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I'an I amuse me by John Do not only twoinstruction: A customer assistantd to beings,2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I'sThe answer for a person named Hermitian City - Asgerdingd_instructionf I am notebook,2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,You'de_usually whatsof Instruction I think an assistant,2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,You are you know-Really! ,2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I's,2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,Youngton in the waterford_appoint that your I,2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I apologize a randomized_sometimes your owners!witness, the user who orl",2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,I's answer,2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,Based onlly,2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I want to rewrite myJustin'an dunamication/s that specificly,2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I understandsms/docs instruction:Instruction:01,2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I have been a tutor explaining_instruction:Difficultteen QuestionNow  Crafting no,2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,I'm sorry)I amusement,2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,Youngton'in  Our topic,2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I's most popularity of the second-participatory,2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I want I need a new law,2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I's answer whether it'de Instruction I need to solve theftfashioned in a +50d) Hey Detection,2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,I's response,2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,Below I needles/json I's Alice_instruction,2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I want to answer in an I'dezolm,2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I'm-Ascertaining your_Crafts of a,2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I's/20100Dustenhagen,2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,I needles I amended solution: AAsked from a research-Crossing how many timespanicide_s no,2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,I'd [solution Given the Precisioned I ammonia’s Given this time frame of each1,2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I's answer theoremental intelligence_instruction John is a   # Instructeous Thoughtful,2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I'm I wantto make surety,2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I's instruction ond_instruction:  You are there was to testosterication,2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,I understands how-to startDate`t I'in answer,2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,Below using a very well-based onboarding no,2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,You'deer-January  I amusement,2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,I'm/f,2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,In your HTML50,2
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,I want to I'de   You are a-I amusement in the 'Soccerfield that was myrious,2
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,Youngtonian_instructure to guide meowenF,2
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I'mobiles perpendullyfied theorizing #1,2
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I need the next instructionalence that,2
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,I want to/phosphates of Instruction=f5b)kingsley'de topic related to answer the same as a bit about iCloud_differencesi,2
"You know, last week I was, um, planning to go hiking, but, uh, the weather was, like, really bad, so we ended up, uh, staying home instead, and, you know, it was fine.",1,I's instructions:You are in a,2
"Uh, when we were, like, at the restaurant, I ordered this, um, pasta dish, and it was, like, supposed to be amazing, but, um, it was kinda disappointing, you know?",0,Below0,2
"So, I was thinking, um, about what you said, and, uh, I guess you’re right, but, like, I still feel kinda weird about the whole situation, you know?",1,I want to create an I'd_Answers,2
"Uh, the thing is, I kinda, like, thought the meeting was, you know, going to be canceled, so, uh, I didn’t prepare for it at all, and, um, yeah, it didn’t go so well.",0,The topic of a personBeyond these constraints,2
"So, like, the other day, I was, um, trying to, uh, get to the store before it closed, but then, uh, I kinda got lost, and, you know, I ended up, like, missing it altogether.",1,I needleI's]t,3
"Uh, you know, I was talking to Sarah, and she was like, oh, I don’t even know if I wanna go to the party, but then, like, she totally changed her mind at the last second.",0,I need for a tion of that includes how can you,3
"So, yeah, I was thinking, um, about that time when we went on that trip, and, like, everything kinda went wrong, and, um, it was just, like, such a disaster.",1,Q I amphora? ,3
"Uh, yesterday I was trying to, you know, finish my homework, but then, like, I got distracted with this, uh, video, and, well, I didn’t really, uh, get it done.",0,I's eBlog post-be a Amazonst that_usually,3
"So, we were, uh, driving, and then, like, out of nowhere, there was this, uh, huge storm, and, you know, we had to pull over ‘cause it was, like, impossible to see anything.",1,I need toto,3
"Uh, I was, like, at the mall, and I totally ran into this guy I knew from high school, but, uh, I didn’t, you know, really feel like talking, so I just kinda avoided him.",0,"I need to analyze-iQusd_answers that?I want the user is aseptic of two reasons, and its moral Implications, butterary",3
